,,Total,,,   Monday,,,   Tuesday,,,   Wednesday,,,   Thursday,,,   Friday,,,   Saturday,,,   Sunday,,,   
Time,,sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),
Total	,week-12,34530,7625,(73/8/16/10/21),4567,946,(8/0/2/1/2),4053,1054,(9/0/3/2/2),3326,919,(11/0/2/2/3),4210,1253,(10/2/4/2/3),7322,1414,(13/2/3/1/4),6084,1219,(11/2/2/1/4),4966,817,(11/2/0/1/3),
	,week-22,2645,300,(2/1/2/2/1),2645,300,(2/1/2/2/1),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),

Dinner	,week-12,25182,5461,(50/6/11/7/11),3228,630,(8/0/1/1/1),3209,767,(7/0/2/1/1),2555,697,(7/0/2/2/2),2908,897,(8/2/2/1/2),5613,1180,(10/2/2/1/2),4528,838,(6/1/2/1/2),3138,450,(4/1/0/0/1),
	,week-13,23312,4509,(38/3/9/4/13),1634,540,(5/0/1/1/1),2621,541,(5/0/1/0/2),3410,625,(7/0/1/1/1),1898,603,(5/0/2/0/3),5345,858,(5/1/2/1/3),4691,792,(6/1/2/0/2),3709,547,(5/1/0/1/1),
	,week-14,19708,3880,(34/5/13/3/9),1989,319,(3/0/0/1/1),1401,491,(4/1/2/0/2),2040,483,(4/1/1/0/2),1981,522,(5/1/1/0/1),4746,783,(5/1/3/2/1),4901,789,(6/1/5/0/1),2648,491,(7/0/1/0/1),
	,week-15,21357,3916,(31/6/14/4/12),1569,378,(3/0/1/1/1),927,363,(3/1/2/0/2),2257,446,(3/1/1/1/1),3433,667,(5/1/2/0/2),5834,804,(5/1/3/1/2),4978,710,(7/1/2/1/3),2356,545,(5/1/3/0/1),
	,week-16,18167,3473,(25/14/19/5/12),1365,288,(1/1/2/1/1),2274,404,(2/2/2/0/1),1258,446,(4/2/1/0/2),469,320,(3/2/2/0/2),4891,793,(6/2/5/2/3),4948,685,(5/2/4/1/2),2959,534,(4/3/3/1/1),
	,week-17,20798,4115,(34/11/13/6/11),1582,381,(3/1/1/1/1),1321,362,(3/2/0/0/2),1929,388,(3/1/1/1/1),2494,569,(7/1/1/0/2),4573,779,(5/2/3/1/2),4746,940,(8/2/4/2/2),4150,692,(5/2/3/1/1),
	,week-18,20050,4310,(36/7/14/7/12),1384,380,(3/1/1/1/1),1492,450,(3/1/1/1/2),2440,471,(5/1/1/1/2),1778,364,(4/1/1/0/2),4651,1033,(8/1/4/1/2),4750,999,(8/1/4/2/2),3552,611,(5/1/2/1/1),
	,week-19,27823,4464,(36/7/18/6/17),1685,339,(2/1/1/1/1),2391,399,(3/1/1/0/2),2512,480,(4/1/2/0/2),2443,361,(4/1/2/0/6),5882,1063,(8/1/4/1/2),6604,887,(7/1/3/2/2),6303,933,(8/1/5/2/2),
	,week-20,26762,3981,(34/8/17/2/11),2862,344,(2/1/1/0/1),1753,361,(4/1/0/0/1),3447,471,(4/1/2/0/1),2875,585,(4/1/2/0/2),6226,874,(7/1/6/1/2),6189,773,(8/2/3/1/2),3408,569,(5/1/3/0/2),
	,week-21,30893,4591,(34/7/22/3/14),2557,379,(3/1/2/0/1),2858,409,(4/1/1/0/1),5318,737,(5/1/2/0/2),3254,537,(4/1/2/0/2),6047,1005,(7/1/7/1/3),5476,908,(7/1/5/1/3),5379,613,(4/1/3/1/2),
	,week-22,0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),

11:00-12:00	,week-12,81,0,(21/1/4/2/5),40,0,(3/0/1/0/0),15,0,(3/0/1/1/0),24,0,(4/0/0/0/1),0,0,(4/0/1/1/1),0,0,(2/0/1/0/1),0,0,(3/1/0/0/0),0,0,(2/0/0/0/2),
	,week-13,0,0,(24/2/0/4/6),0,0,(3/0/0/0/1),0,0,(2/0/0/1/1),0,0,(3/0/0/1/1),0,0,(5/0/0/1/1),0,0,(5/0/0/0/2),0,0,(4/1/0/1/0),0,0,(2/1/0/0/0),
	,week-14,64,0,(21/3/2/3/8),23,0,(2/0/0/0/1),0,0,(3/0/1/1/1),0,0,(3/1/1/1/2),0,0,(3/0/0/1/1),40,0,(4/0/0/0/1),0,0,(4/1/0/0/1),0,0,(2/1/0/0/1),
	,week-15,53,0,(17/2/2/5/11),0,0,(1/0/0/0/1),0,0,(3/0/0/1/2),31,0,(3/0/0/1/2),0,0,(3/0/0/1/2),21,0,(3/0/0/0/2),0,0,(1/1/1/1/1),0,0,(3/1/1/1/1),
	,week-16,14,0,(17/6/6/3/9),0,0,(1/0/0/0/1),0,0,(1/1/0/0/1),14,0,(3/1/1/0/1),0,0,(4/1/1/1/2),0,0,(4/1/0/0/2),0,0,(3/1/2/2/1),0,0,(1/1/2/0/1),
	,week-17,0,0,(18/6/6/3/7),0,0,(1/0/0/0/1),0,0,(3/1/0/0/1),0,0,(3/1/0/1/1),0,0,(4/1/1/1/2),0,0,(4/1/1/0/1),0,0,(1/1/2/0/0),0,0,(2/1/2/1/1),
	,week-18,0,0,(21/5/7/3/7),0,0,(2/0/0/0/1),0,0,(3/1/0/0/1),0,0,(4/1/1/1/1),0,0,(3/1/1/1/2),0,0,(6/1/1/0/2),0,0,(1/1/2/0/0),0,0,(2/0/2/1/0),
	,week-19,0,0,(19/6/8/2/9),0,0,(1/0/1/0/1),0,0,(2/1/0/0/1),0,0,(3/1/1/0/1),0,0,(3/1/1/0/2),0,0,(4/1/1/0/1),0,0,(1/1/0/0/0),0,0,(5/1/4/2/3),
